biozone-harmony-boost	biozone-harmony-boost	dev	vite
biozone-harmony-boost	biozone-harmony-boost	lint	eslint .
biozone-harmony-boost	biozone-harmony-boost	preview	vite preview
booksmith-ai	booksmith-ai	artifacts:manage:v1	node scripts/artifact-manager-v1.mjs
booksmith-ai	booksmith-ai	artifacts:manage:v1:fhqcm	node scripts/artifact-manager-v1.mjs fhqcm
booksmith-ai	booksmith-ai	bibliography:audit:v2	node scripts/bibliography-audit-v2.mjs
booksmith-ai	booksmith-ai	bibliography:audit:v2:fhqcm	node scripts/bibliography-audit-v2.mjs fhqcm
booksmith-ai	booksmith-ai	bibliography:pipeline:v2	bash scripts/bibliography-pipeline-v2.sh
booksmith-ai	booksmith-ai	bibliography:pipeline:v2:fhqcm	bash scripts/bibliography-pipeline-v2.sh fhqcm
booksmith-ai	booksmith-ai	bibliography:stub:v2	node scripts/bibliography-stub-missing-v2.mjs
booksmith-ai	booksmith-ai	bibliography:stub:v2:fhqcm	node scripts/bibliography-stub-missing-v2.mjs fhqcm
booksmith-ai	booksmith-ai	booksmith:os	bash scripts/booksmith-os-v1.sh
booksmith-ai	booksmith-ai	booksmith:os:fhqcm	bash scripts/booksmith-os-v1.sh fhqcm
booksmith-ai	booksmith-ai	booksmith:os:submit:fhqcm	bash scripts/booksmith-os-v1.sh fhqcm --submit
booksmith-ai	booksmith-ai	booksmith:publish	bash scripts/booksmith-publish-v1.sh
booksmith-ai	booksmith-ai	booksmith:publish-managed	bash scripts/booksmith-publish-managed-v1.sh
booksmith-ai	booksmith-ai	booksmith:publish-managed:fhqcm	bash scripts/booksmith-publish-managed-v1.sh fhqcm
booksmith-ai	booksmith-ai	booksmith:publish:fhqcm	bash scripts/booksmith-publish-v1.sh fhqcm
booksmith-ai	booksmith-ai	booksmith:stabilize-submit	bash scripts/booksmith-stabilize-and-submit.sh
booksmith-ai	booksmith-ai	booksmith:stabilize-submit:fhqcm	bash scripts/booksmith-stabilize-and-submit.sh fhqcm
booksmith-ai	booksmith-ai	bootstrap	bash bootstrap.sh
booksmith-ai	booksmith-ai	build	next build
booksmith-ai	booksmith-ai	dev	next dev
booksmith-ai	booksmith-ai	ensure:book-folders	node scripts/ensure-book-folders.mjs
booksmith-ai	booksmith-ai	fhqcm:images	node scripts/generate-fhqcm-images.mjs
booksmith-ai	booksmith-ai	fhqcm:polish	node scripts/fhqcm-polish-and-validate.mjs
booksmith-ai	booksmith-ai	figure:approve	node scripts/figure-engine-v1.mjs
booksmith-ai	booksmith-ai	figure:art-director	node scripts/figure-art-director-v1.mjs
booksmith-ai	booksmith-ai	figure:art-director:fhqcm	node scripts/figure-art-director-v1.mjs fhqcm
booksmith-ai	booksmith-ai	figure:art-director:pipeline	bash scripts/figure-art-director-pipeline-v1.sh
booksmith-ai	booksmith-ai	figure:art-director:pipeline:fhqcm	bash scripts/figure-art-director-pipeline-v1.sh fhqcm
booksmith-ai	booksmith-ai	figure:audit	node scripts/figure-asset-audit-v1.mjs
booksmith-ai	booksmith-ai	figure:audit:fhqcm	node scripts/figure-asset-audit-v1.mjs fhqcm
booksmith-ai	booksmith-ai	figure:engine	node scripts/figure-engine-v1.mjs
booksmith-ai	booksmith-ai	figure:import	node scripts/figure-engine-v1.mjs
booksmith-ai	booksmith-ai	figure:intelligence:v1	node scripts/figure-intelligence-v1.mjs
booksmith-ai	booksmith-ai	figure:intelligence:v1:fhqcm	node scripts/figure-intelligence-v1.mjs fhqcm
booksmith-ai	booksmith-ai	figure:pipeline:v1	bash scripts/figure-pipeline-v1.sh
booksmith-ai	booksmith-ai	figure:pipeline:v1:fhqcm	bash scripts/figure-pipeline-v1.sh fhqcm
booksmith-ai	booksmith-ai	figure:queue	node scripts/figure-engine-v1.mjs fhqcm queue
booksmith-ai	booksmith-ai	figure:reject	node scripts/figure-engine-v1.mjs
booksmith-ai	booksmith-ai	figure:revise	node scripts/figure-studio-revise-v1.mjs
booksmith-ai	booksmith-ai	figure:studio	node scripts/figure-studio-v1.mjs
booksmith-ai	booksmith-ai	figure:studio:fhqcm	node scripts/figure-studio-v1.mjs fhqcm
booksmith-ai	booksmith-ai	figure:studio:pipeline	bash scripts/figure-studio-pipeline-v1.sh
booksmith-ai	booksmith-ai	figure:studio:pipeline:fhqcm	bash scripts/figure-studio-pipeline-v1.sh fhqcm
booksmith-ai	booksmith-ai	figures:registry	node scripts/figure-registry-v1.mjs
booksmith-ai	booksmith-ai	figures:registry:fhqcm	node scripts/figure-registry-v1.mjs fhqcm
booksmith-ai	booksmith-ai	install:missing-tools	bash scripts/install-missing-tools.sh
booksmith-ai	booksmith-ai	install:termux	bash scripts/booksmith-install-termux-v1.sh
booksmith-ai	booksmith-ai	json:repair	node scripts/repair-booksmith-json.mjs
booksmith-ai	booksmith-ai	json:validate	node scripts/validate-booksmith-json.mjs
booksmith-ai	booksmith-ai	latex:sample	powershell -ExecutionPolicy Bypass -File scripts/build-latex.ps1
booksmith-ai	booksmith-ai	latex:sample:lua	powershell -ExecutionPolicy Bypass -File scripts/build-latex.ps1 -Engine lualatex
booksmith-ai	booksmith-ai	latex:sample:tectonic	powershell -ExecutionPolicy Bypass -File scripts/build-latex.ps1 -Engine tectonic
booksmith-ai	booksmith-ai	latex:structure	node scripts/latex-structure-report.mjs
booksmith-ai	booksmith-ai	latex:structure:fhqcm	node scripts/latex-structure-report.mjs fhqcm
booksmith-ai	booksmith-ai	lint	eslint
booksmith-ai	booksmith-ai	packet:build	node scripts/build-publishing-packet.mjs
booksmith-ai	booksmith-ai	packet:build:fhqcm	node scripts/build-publishing-packet.mjs fhqcm
booksmith-ai	booksmith-ai	phase1:architecture:v4	bash scripts/phase1-architecture-v4.sh
booksmith-ai	booksmith-ai	phase1:architecture:v4:fhqcm	bash scripts/phase1-architecture-v4.sh fhqcm
booksmith-ai	booksmith-ai	phase1:figure-audit:v1	bash scripts/phase1-figure-audit-v1.sh
booksmith-ai	booksmith-ai	phase1:figure-audit:v1:fhqcm	bash scripts/phase1-figure-audit-v1.sh fhqcm
booksmith-ai	booksmith-ai	phase1:pipeline	bash scripts/phase1-full-pipeline.sh
booksmith-ai	booksmith-ai	phase1:pipeline:fhqcm	bash scripts/phase1-full-pipeline.sh fhqcm
booksmith-ai	booksmith-ai	phase1:repair:v2	bash scripts/phase1-repair-v2-loop.sh
booksmith-ai	booksmith-ai	phase1:repair:v2:fhqcm	bash scripts/phase1-repair-v2-loop.sh fhqcm
booksmith-ai	booksmith-ai	phase1:semantic-blocks:v1	bash scripts/phase1-semantic-blocks-v1.sh
booksmith-ai	booksmith-ai	phase1:semantic-blocks:v1:fhqcm	bash scripts/phase1-semantic-blocks-v1.sh fhqcm
booksmith-ai	booksmith-ai	phase1:semantic:v4	bash scripts/phase1-semantic-v4.sh
booksmith-ai	booksmith-ai	phase1:semantic:v4:fhqcm	bash scripts/phase1-semantic-v4.sh fhqcm
booksmith-ai	booksmith-ai	phase1:source-mapped-proof	bash scripts/phase1-source-mapped-proof.sh
booksmith-ai	booksmith-ai	phase1:source-mapped-proof:fhqcm	bash scripts/phase1-source-mapped-proof.sh fhqcm
booksmith-ai	booksmith-ai	phase1:strict-proof	bash scripts/phase1-strict-proof.sh
booksmith-ai	booksmith-ai	phase1:strict-proof:fhqcm	bash scripts/phase1-strict-proof.sh fhqcm
booksmith-ai	booksmith-ai	phase1:typography-diagnostics:v4	bash scripts/phase1-typography-diagnostics-v4.sh
booksmith-ai	booksmith-ai	phase1:typography-diagnostics:v4:fhqcm	bash scripts/phase1-typography-diagnostics-v4.sh fhqcm
booksmith-ai	booksmith-ai	phase1:typography:v3	bash scripts/phase1-typography-v3.sh
booksmith-ai	booksmith-ai	phase1:typography:v3:fhqcm	bash scripts/phase1-typography-v3.sh fhqcm
booksmith-ai	booksmith-ai	phase1:visual-proof	bash scripts/phase1-visual-proof.sh
booksmith-ai	booksmith-ai	phase1:visual-proof:fhqcm	bash scripts/phase1-visual-proof.sh fhqcm
booksmith-ai	booksmith-ai	proof:architecture-check	node scripts/proof-architecture-check.mjs
booksmith-ai	booksmith-ai	proof:architecture-check:fhqcm	node scripts/proof-architecture-check.mjs fhqcm
booksmith-ai	booksmith-ai	proof:autofix	node scripts/booksmith-proof-autofix.mjs
booksmith-ai	booksmith-ai	proof:autofix:fhqcm	node scripts/booksmith-proof-autofix.mjs fhqcm
booksmith-ai	booksmith-ai	proof:context	node scripts/proof-context-inspector.mjs
